Channel EMG,0.00688181887541009,0.00654612039368276,0.00621042191195544,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00621042191195544,0.00621042191195544,0.00587472343022812,0.00570687418936446,0.00570687418936446,0.00587472343022812,0.00587472343022812,0.00621042191195544,0.0063782711528191,0.0063782711528191,0.00621042191195544,0.00621042191195544,0.00654612039368276,0.00621042191195544,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.0063782711528191,0.00654612039368276,0.00654612039368276,0.00621042191195544,0.00654612039368276,0.00654612039368276,0.00688181887541009,0.00688181887541009,0.00755321583886473,0.00755321583886473,0.00755321583886473,0.00721751735713741,0.00654612039368276,0.00704966811627375,0.00704966811627375,0.00704966811627375,0.00688181887541009,0.00721751735713741,0.00721751735713741,0.00704966811627375,0.00688181887541009,0.00704966811627375,0.00688181887541009,0.00721751735713741,0.00704966811627375,0.00721751735713741,0.00688181887541009
Channel ACC,-0.71875,-0.71875,-0.6875,-0.6875
Channel ACC,0.6875,0.6875,0.65625,0.65625
Channel ACC,0.15625,0.15625,0.15625,0.1875

#Frame18 #Time(ms) 631
Sensor 0
Channel EMG,0.00704966811627375,0.00654612039368276,0.0063782711528191,0.00621042191195544,0.00621042191195544,0.0063782711528191,0.00621042191195544,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00604257267109178,0.00587472343022812,0.00520332646677348,0.00570687418936446,0.00621042191195544,0.00587472343022812,0.0055390249485008,0.00587472343022812,0.00587472343022812,0.0055390249485008,0.00570687418936446,0.00587472343022812,0.00587472343022812,0.00587472343022812,0.00621042191195544,0.00654612039368276,0.00688181887541009,0.00654612039368276,0.00654612039368276,0.0063782711528191,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00721751735713741,0.00721751735713741,0.00704966811627375,0.00654612039368276,0.0063782711528191,0.00621042191195544,0.00688181887541009,0.00721751735713741,0.00654612039368276,0.00688181887541009,0.00654612039368276,0.00654612039368276,0.00721751735713741,0.00704966811627375,0.00721751735713741,0.00721751735713741
Channel ACC,-0.71875,-0.71875,-0.71875,-0.71875
Channel ACC,0.6875,0.6875,0.6875,0.6875
Channel ACC,0.1875,0.1875,0.1875,0.21875

#Frame19 #Time(ms) 658
Sensor 0
Channel EMG,0.00721751735713741,0.00654612039368276,0.00688181887541009,0.00721751735713741,0.00788891432059205,0.00772106507972839,0.00721751735713741,0.00721751735713741,0.00738536659800107,0.00772106507972839,0.00755321583886473,0.00721751735713741,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.0063782711528191,0.00621042191195544,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00688181887541009,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00604257267109178,0.00654612039368276,0.00587472343022812,0.00621042191195544,0.00621042191195544,0.0063782711528191,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00704966811627375,0.00654612039368276,0.00587472343022812,0.00587472343022812,0.0063782711528191,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.00654612039368276,0.0063782711528191,0.00587472343022812,0.00654612039368276,0.00621042191195544
Channel ACC,-0.71875,-0.71875,-0.75,-0.75
